-29.50002,0.6102418,-66.61994
-29.44027,0.5644167,-64.61533
-29.22465,0.5648518,-62.56251
-28.86715,0.56517,-60.54173
-28.37277,0.5658611,-58.56087
-27.73745,0.5660955,-56.55485
-27.07181,0.5647202,-54.58618
-26.35705,0.5660605,-52.57787
-25.6469,0.5654838,-50.70696
-24.8591,0.5661099,-48.72887
-24.05876,0.5654414,-46.8047
-23.25204,0.5656499,-44.95008
-22.37341,0.5658957,-43.02778
-21.50492,0.5654318,-41.20592
-20.57287,0.5658473,-39.32879
-19.57556,0.5658066,-37.40033
-18.60902,0.5655779,-35.60342
-17.58376,0.565945,-33.76764
-16.49838,0.5657689,-31.89386
-15.46752,0.5656274,-30.17565
-14.38481,0.5658208,-28.43231
-13.24798,0.5656466,-26.66218
-12.0564,0.5658124,-24.8695
-10.80777,0.5657039,-23.05317
-9.649788,0.5656536,-21.42234
-8.445536,0.5656572,-19.77706
-7.194383,0.5656689,-18.11877
-5.895878,0.5656881,-16.44918
-4.549932,0.5657192,-14.77048
-3.157544,0.5657974,-13.08616
-1.719584,0.5656637,-11.39958
-0.2352875,0.5655758,-9.712532
1.295392,0.5658082,-8.026108
2.667427,0.5660721,-6.548406
4.064804,0.5658294,-5.061929
5.476912,0.5663003,-3.570947
6.896921,0.5660316,-2.076872
8.320043,0.5653212,-0.5829756
9.748797,0.5652882,0.9153572
11.18087,0.5665232,2.415458
12.6172,0.5666968,3.919369
14.05148,0.5663195,5.419884
15.48401,0.5652665,6.918355
16.91218,0.5653367,8.411673
18.33871,0.5660192,9.903667
19.7612,0.5667912,11.39109
21.18184,0.5662693,12.87706
22.5982,0.5657658,14.3583
24.01273,0.5654683,15.8382
25.42305,0.5660354,17.31349
26.83152,0.5662094,18.78744
28.23578,0.5663199,20.25677
29.63823,0.5658731,21.72481
31.03648,0.5658838,23.18823
32.43289,0.5658106,24.65035
33.82512,0.5661646,26.10787
35.21554,0.5660604,27.56412
36.6018,0.566128,29.01578
37.98626,0.5658415,30.46618
39.56418,0.5658446,32.11924
41.13823,0.5659484,33.7685
42.70841,0.5659877,35.41397
44.27474,0.5659279,37.05566
45.83723,0.5658752,38.69358
47.39589,0.5658971,40.32772
48.95073,0.565944,41.95811
50.50175,0.5659474,43.58476
52.04897,0.5659146,45.20767
53.5924,0.5658989,46.82685
55.13205,0.5659162,48.44231
56.66793,0.5659347,50.05408
58.20005,0.5659296,51.66215
